Motif_Identifier	GO_Term_Identifier	GOMo_Score	p-value	q-value
13	GO:0010467	9.226e-03	4.918e-06	2.666e-02
13	GO:0022626	1.066e-02	8.648e-06	2.666e-02
13	GO:0006807	1.088e-02	9.072e-06	2.666e-02
13	GO:0030529	1.283e-02	1.577e-05	3.708e-02
13	GO:0016070	1.415e-02	2.137e-05	4.186e-02
14	GO:0005622	5.211e-30	8.479e-08	4.268e-06
14	GO:0044424	6.107e-29	8.479e-08	4.268e-06
14	GO:0043227	3.466e-26	8.479e-08	4.268e-06
14	GO:0043231	3.993e-26	8.479e-08	4.268e-06
14	GO:0043226	1.276e-25	8.479e-08	4.268e-06
14	GO:0043229	1.657e-25	8.479e-08	4.268e-06
14	GO:0005634	6.092e-18	8.479e-08	4.268e-06
14	GO:0030528	4.242e-17	8.479e-08	4.268e-06
14	GO:0010468	4.911e-17	8.479e-08	4.268e-06
14	GO:0005737	2.186e-16	8.479e-08	4.268e-06
14	GO:0031326	5.835e-16	8.479e-08	4.268e-06
14	GO:0009889	8.154e-16	8.479e-08	4.268e-06
14	GO:0010556	1.681e-15	8.479e-08	4.268e-06
14	GO:0045449	2.889e-15	8.479e-08	4.268e-06
14	GO:0019222	1.381e-14	8.479e-08	4.268e-06
14	GO:0031323	5.096e-14	8.479e-08	4.268e-06
14	GO:0003700	6.768e-14	8.479e-08	4.268e-06
14	GO:0080090	1.905e-13	8.479e-08	4.268e-06
14	GO:0005515	4.483e-13	8.479e-08	4.268e-06
